keyword,language,intent,cluster,page_type,priority,difficulty,geo_scope,content_format,slug,title_tag,h1,difficulty_score,opportunity_index
mundo mágico aveiro loja,PT,brand/navigational,Marca,Homepage,5,Very Low,Local,Homepage,/,Mundo Mágico — Loja Esotérica em Aveiro | Tradição Ancestral,Mundo Mágico — Loja Esotérica em Aveiro,6,80
consulta tarot aveiro,PT,local service,Tarot Local,Service landing page,5,Low,Local,Service page + FAQ,/consulta-tarot-aveiro,Consulta de Tarot em Aveiro | Mundo Mágico,Consulta de Tarot em Aveiro — Leitura Presencial e Online,5,75
tarot aveiro,PT,local service,Tarot Local,Service landing page,5,Low-Medium,Local,Service page + FAQ,/consulta-tarot-aveiro,Consulta de Tarot em Aveiro | Mundo Mágico,Consulta de Tarot em Aveiro — Leitura Presencial e Online,4,70
limpeza espiritual portugal,PT,service/informational,Limpeza Espiritual,Service page + FAQ,5,Low-Medium,National,Service page + informational,/limpeza-espiritual,Limpeza Espiritual em Portugal | Ritual Ancestral | Mundo Mágico,Limpeza Espiritual — Ritual Ancestral de Purificação,4,70
loja esotérica aveiro,PT,local/commercial,Loja Esotérica,Homepage / local page,5,Low-Medium,Local,Home + local landing page,/loja-esoterica-aveiro,Loja Esotérica em Aveiro | Mundo Mágico,"Loja Esotérica em Aveiro — Cristais, Velas e Rituais Ancestrais",4,70
banho limpeza espiritual,PT,informational/product,Banhos de Ervas,Blog + collection page,5,Low-Medium,National,How-to + product collection,/blog/banho-limpeza-espiritual,Banho de Limpeza Espiritual — Como Fazer e Para Que Serve,"Banho de Limpeza Espiritual — Tradição, Benefícios e Como Preparar",4,70
leitura de cartas aveiro,PT,local service,Tarot Local,Service landing page,4,Low,Local,Service page + FAQ,/consulta-tarot-aveiro,Leitura de Cartas de Tarot em Aveiro | Mundo Mágico,Leitura de Cartas em Aveiro — Tarot de Marseille,5,65
taróloga aveiro,PT,local service,Tarot Local,Service landing page,4,Low,Local,Service page + about,/consulta-tarot-aveiro,Taróloga em Aveiro | Mundo Mágico,Taróloga em Aveiro — Consultas Presenciais,5,65
vela ritual para proteção,PT,product,Velas Rituais,Product page,4,Low,National,Product page + FAQ,/velas-rituais/protecao,Vela Ritual de Proteção | Mundo Mágico,Vela Ritual de Proteção — Blindagem e Equilíbrio Energético,5,65
ervas e defumadores portugal,PT,product category,Ervas e Defumadores,Category page,4,Low,National,Category + descriptions,/ervas-e-defumadores,Ervas e Defumadores Esotéricos em Portugal | Mundo Mágico,"Ervas e Defumadores — Tradição, Purificação e Rituais",5,65
defumação espiritual,PT,informational/product,Ervas e Defumadores,Blog + category,4,Low,National,Article + product listing,/blog/defumacao-espiritual,Defumação Espiritual — Como Fazer e Para Que Serve | Mundo Mágico,"Defumação Espiritual — Tradição, Ervas e Ritual",5,65
velas rituais portugal,PT,product category,Velas Rituais,Category page,5,Medium,National,Category page + descriptions,/velas-rituais,Velas Rituais em Portugal | Comprar Online | Mundo Mágico,"Velas Rituais — Intenções, Cores e Tradição Ancestral",3,65
sobre rituais esotéricos tradição,PT,informational,Trust & EEAT,About page,4,Low,National,About page + practitioner story,/sobre-nos,"Sobre o Mundo Mágico — Tradição, Experiência e Missão",Sobre o Mundo Mágico — Quem Somos e a Nossa Tradição,5,65
ervas para banho espiritual,PT,informational/product,Banhos de Ervas,Blog + product link,4,Low,National,Informational + product listing,/blog/ervas-para-banho-espiritual,Ervas Para Banho Espiritual — Lista Completa | Mundo Mágico,Ervas Para Banho Espiritual — As Mais Poderosas e Como Usar,5,65
velas esotéricas portugal,PT,product category,Velas Rituais,Category page,5,Medium,National,Category page + descriptions,/velas-esotericas,Velas Esotéricas em Portugal | Loja Online | Mundo Mágico,Velas Esotéricas — Para Cada Intenção e Ritual,3,65
limpeza espiritual aveiro,PT,local service,Limpeza Espiritual,Service landing page,4,Low,Local,Service page,/limpeza-espiritual,Limpeza Espiritual em Aveiro | Mundo Mágico,Limpeza Espiritual em Aveiro — Purificação e Equilíbrio,5,65
para que servem as velas rituais,PT,informational,Velas Rituais,Blog article,4,Low,National,Informational article + FAQ,/blog/para-que-servem-velas-rituais,Para Que Servem as Velas Rituais? | Guia Completo | Mundo Mágico,"Para Que Servem as Velas Rituais — Cores, Intenções e Como Usar",5,65
como fazer limpeza espiritual em casa,PT,informational,Limpeza Espiritual,Blog article,4,Low-Medium,National,How-to article + FAQ,/blog/como-fazer-limpeza-espiritual-em-casa,Como Fazer Limpeza Espiritual em Casa | Guia Completo,Como Fazer Limpeza Espiritual em Casa — Passo a Passo,4,60
cristais para proteção portugal,PT,product/informational,Cristais,Category + blog,4,Low-Medium,National,Product category + guide,/cristais/protecao,Cristais para Proteção — Comprar Online Portugal | Mundo Mágico,Cristais para Proteção — Os Mais Poderosos e Como Usar,4,60
banho de ervas espiritual,PT,informational,Banhos de Ervas,Blog article,4,Low-Medium,National,How-to article,/blog/banho-de-ervas-espiritual,"Banho de Ervas Espiritual — Ervas, Intenções e Rituais | Mundo Mágico",Banho de Ervas Espiritual — Guia Completo,4,60
vela ritual amor,PT,product,Velas Rituais,Product page,4,Low-Medium,National,Product page + FAQ,/velas-rituais/amor,Vela Ritual de Amor — Intenção e Tradição | Mundo Mágico,Vela Ritual de Amor — Como Usar e Para Que Serve,4,60
limpeza energética espiritual,PT,service/informational,Limpeza Espiritual,Service page + FAQ,4,Low-Medium,National,Service page + FAQ,/limpeza-espiritual,Limpeza Energética e Espiritual | Mundo Mágico,Limpeza Energética & Espiritual — Desbloqueio e Renovação,4,60
consulta tarot online portugal,PT,service national,Tarot Online,Online service page,4,Medium,National,Service page + FAQ,/consulta-tarot-online,Consulta de Tarot Online em Portugal | Mundo Mágico,Consulta de Tarot Online — Portugal,3,55
o que é limpeza espiritual,PT,informational,Limpeza Espiritual,Blog article,3,Low,National,Informational article + FAQ,/blog/o-que-e-limpeza-espiritual,O Que É Limpeza Espiritual? | Tradição e Ritual | Mundo Mágico,O Que É Limpeza Espiritual e Para Que Serve,5,55
banhos energéticos portugal,PT,informational/product,Banhos de Ervas,Blog + category,3,Low,National,Article + collection,/blog/banhos-energeticos,Banhos Energéticos em Portugal — Tipos e Como Fazer | Mundo Mágico,"Banhos Energéticos — Tipos, Ervas e Rituais",5,55
ritual para proteção espiritual,PT,informational,Rituais e Simpatias,Blog article,3,Low,National,How-to article + FAQ,/blog/ritual-para-protecao-espiritual,Ritual Para Proteção Espiritual — Passo a Passo | Mundo Mágico,Ritual Para Proteção Espiritual — Como Fazer em Casa,5,55
como escolher velas rituais,PT,informational,Velas Rituais,Blog article,3,Low,National,How-to guide,/blog/como-escolher-velas-rituais,Como Escolher Velas Rituais — Guia Prático | Mundo Mágico,"Como Escolher Velas Rituais — Cores, Aromas e Intenções",5,55
arruda espiritual portugal,PT,product/informational,Ervas e Defumadores,Product + article,3,Low,National,Product page + FAQ,/ervas-e-defumadores/arruda,Arruda — Para Que Serve e Como Usar | Mundo Mágico,Arruda — Propriedades Espirituais e Como Usar em Rituais,5,55
testemunhos limpeza espiritual,PT,commercial/trust,Trust & EEAT,Testimonials page,3,Low,National,Social proof page,/testemunhos,Testemunhos | Clientes do Mundo Mágico,O Que Dizem os Nossos Clientes,5,55
vela 7 dias portugal,PT,product,Velas Rituais,Product page,3,Low-Medium,National,Product page,/velas-rituais/vela-7-dias,Vela 7 Dias Portugal | Comprar | Mundo Mágico,Vela 7 Dias — Ritual de Intenção Contínua,4,50
amuletos proteção portugal,PT,product/informational,Amuletos e Proteção,Category + informational,3,Low-Medium,National,Category page + article,/amuletos-protecao,Amuletos de Proteção em Portugal | Mundo Mágico,"Amuletos de Proteção — Tradição, Significado e Onde Comprar",4,50
pau santo portugal,PT,product,Ervas e Defumadores,Product page,3,Low-Medium,National,Product page + FAQ,/ervas-e-defumadores/pau-santo,Pau Santo (Palo Santo) Portugal | Comprar | Mundo Mágico,Pau Santo — Purificação e Energia Positiva,4,50
astrologia aveiro,PT,local service,Tarot Local,Service landing page,3,Low-Medium,Local,Service page,/mapa-astrologico-aveiro,Mapa Astral e Astrologia em Aveiro | Mundo Mágico,Leitura de Mapa Astral em Aveiro,4,50
como usar cristais espirituais,PT,informational,Cristais,Blog article,3,Low-Medium,National,How-to + FAQ,/blog/como-usar-cristais-espirituais,Como Usar Cristais Espirituais — Guia Completo | Mundo Mágico,"Como Usar Cristais Espirituais — Ativação, Limpeza e Intenção",4,50
simpatia para amor portugal,PT,informational,Rituais e Simpatias,Blog article,3,Low-Medium,National,Informational article + product links,/blog/simpatia-para-amor,Simpatia Para Amor — Rituais e Tradição | Mundo Mágico,Simpatia Para Amor — Tradição Ancestral e Intenção,4,50
tarot de marselha online,PT,service/informational,Tarot Online,Online service page,3,Medium,National,Service page + guide,/consulta-tarot-online,Tarot de Marselha Online | Leitura Profissional | Mundo Mágico,Tarot de Marselha Online — Leitura Profissional,3,45
leitura tarot profissional portugal,PT,service national,Tarot Online,Online service page,3,Medium,National,Service page,/consulta-tarot-online,Leitura de Tarot Profissional em Portugal | Mundo Mágico,Leitura de Tarot Profissional — Agenda a Tua Consulta,3,45
ametista portugal comprar,PT,product,Cristais,Product page,3,Medium,National,Product page + FAQ,/cristais/ametista,Ametista — Comprar em Portugal | Mundo Mágico,Ametista — Propriedades Espirituais e Onde Comprar em Portugal,3,45
loja esotérica portugal,PT,commercial investigation,Loja Esotérica,Homepage / category hub,4,High,National,Home + category structure,/,Loja Esotérica Online em Portugal | Rituais e Tradição | Mundo Mágico,Mundo Mágico — Loja Esotérica de Tradição Ancestral em Aveiro,1,45
tarot online portugal,PT,service national,Tarot Online,Online service page,3,Medium-High,National,Service page + FAQ,/consulta-tarot-online,Tarot Online Portugal | Mundo Mágico,Tarot Online em Portugal — Leitura Profissional,2,40
produtos esotéricos portugal online,PT,commercial,Loja Esotérica,Category hub / homepage,3,High,National,Category + filtering,/,Produtos Esotéricos Online Portugal | Mundo Mágico,"Produtos Esotéricos em Portugal — Tradição, Rituais e Magia",1,35
